"species","rep","treat","mean_area_Double","mean_area_Multi","mean_area_Quartet","mean_area_Single","sd_area_Double","sd_area_Multi","sd_area_Quartet","sd_area_Single"
"fio27","rep1","no3_16",592.42,795.04,488.16,218.42,188.4,0,41.14,95.58
"fio27","rep1","no3_16_l",408.53,563.65,0,162.39,100.57,0,0,72.54
"fio27","rep1","no3_16_m",449.82,777.86,419.79,185.46,107.06,0,0,90.47
"fio27","rep1","no3_160",530.2,1026.84,572.9,190.43,89.36,0,0,79.35
"fio27","rep1","no3_4",467.42,1005.39,0,187.35,98.49,0,0,75
"fio27","rep2","no3_16",454.7,950.4,606.32,183.52,133.57,252.84,1.86,76.44
"fio27","rep2","no3_16_l",292.04,1253.57,395.21,125.99,35.94,540.28,51.53,56.27
"fio27","rep2","no3_16_m",407.17,848.55,432.11,135.4,73.21,466.16,70.9,60.56
"fio27","rep2","no3_160",397.24,1652.54,838.89,149.34,92.53,398.18,614.82,66.88
"fio27","rep2","no3_4",377.07,1854.03,547.04,155.71,90.67,0,0,66.92
"k1016","rep1","no3_16",47.785,0,44.425,22.485,17.25,0,8.18,5.54
"k1016","rep1","no3_16_l",52.27,0,0,24.59,12.95,0,0,4.92
"k1016","rep1","no3_16_m",50.575,0,25.72,23.68,19.1,0,10.05,5.745
"k1016","rep1","no3_160",41.36,40.9,38.69,23.01,11.84,0,6.91,5.85
"k1016","rep1","no3_4",51.9,0,82.51,24.08,22.88,0,0,6.29
"k1016","rep2","no3_16",55.57,94.35,52.1,22.71,12.99,40,8.81,3.92
"k1016","rep2","no3_16_l",52.44,194.52,93.68,22.31,15.35,43.05,24.39,3.59
"k1016","rep2","no3_16_m",57.63,271.58,81.66,23.85,14.61,33.9,7.94,4.06
"k1016","rep2","no3_160",51.29,0,49.13,23.02,14.62,0,11.24,3.91
"k1016","rep2","no3_4",53.42,0,0,23.18,13.35,0,0,3.94
"k1773","rep1","no3_16",110.613333333333,369.54,259.123333333333,39.23,51.8733333333333,83.9833333333333,97.1266666666667,30.55
"k1773","rep1","no3_16_l",75.925,408.29,199.695,29.99,36.315,260.795,66.76,13.845
"k1773","rep1","no3_16_m",103.015,331.21,0,35.89,55.105,108.375,0,25.82
"k1773","rep1","no3_160",147.46,795.33,174.16,38.6,0,446.72,106.67,21.48
"k1773","rep1","no3_4",106.58,701.58,199.415,37.22,68.155,360.975,65.03,25.35
"k1773","rep2","no3_16",122.89,785.465,177.15,40.37,61.28,498.445,78.585,27.47
"k1773","rep2","no3_16_l",167.85,672.4,130.77,29.2,87.33,508.59,57.47,14.12
"k1773","rep2","no3_16_m",128.58,802.49,308.96,34.8,65.67,510.93,213.08,23.5
"k1773","rep2","no3_160",103.95,758,415.41,33.18,61.23,498.89,253.98,20.42
"k1773","rep2","no3_4",97.21,996.49,169.87,42.18,41.51,585.65,68.18,28.13
"kgh002","rep1","no3_16",110.64,228.22,142.49,42.65,64.03,75.61,58.95,28.56
"kgh002","rep1","no3_16_l",81.34,143.38,108.73,35.38,41,28.94,37.75,18.4
"kgh002","rep1","no3_16_m",85.73,257.45,152.36,33.64,30.23,88.64,90.55,17.93
"kgh002","rep1","no3_160",119.26,203.45,181.5,51.59,68.77,98.49,66.96,32.63
"kgh002","rep1","no3_4",121.1,639.92,153.97,45.16,69.27,0,44.28,24.63
"kgh002","rep2","no3_16",86.72,239.2,150.58,37.34,33.8,147.94,52.94,19.7
"kgh002","rep2","no3_16_l",96.97,263.14,124.28,35.65,38.56,111.4,60.74,16.17
"kgh002","rep2","no3_16_m",83.505,227.705,138.915,32.59,30.56,115.69,61.89,16.465
"kgh002","rep2","no3_160",103.79,414.21,231.47,52,30.49,205.33,87.18,25.91
"kgh002","rep2","no3_4",120.16,257.14,142.62,41.34,36.1,94.02,57.95,18.77
"kgh285","rep1","no3_16",193.565,247.31,85.515,70.49,0,180.465,54.215,43.2
"kgh285","rep1","no3_16_l",96.96,299.11,160.12,41.61,73.97,204.16,91.43,34.62
"kgh285","rep1","no3_16_m",95.3,258.21,133.34,52.67,58.05,207.48,132.89,38.18
"kgh285","rep1","no3_160",99.885,202.06,136.65,81.915,44.93,170.875,118.47,155.68
"kgh285","rep1","no3_4",143.82,274.92,129.55,59.25,29.34,182.02,114.16,43.73
"kgh285","rep2","no3_16",51.47,285.36,49.42,31.92,8.54,224.95,28.34,12.36
"kgh285","rep2","no3_16_l",93.42,281.79,111.32,31.25,40.73,204.44,60.68,10.42
"kgh285","rep2","no3_16_m",79.53,264.54,170.6,36.83,32.58,237.84,135.76,18.39
"kgh285","rep2","no3_160",50.96,310.25,55.13,36.64,12.28,255.61,19.67,17.83
"kgh285","rep2","no3_4",39.71,309.78,48.97,30.97,0,254.25,14.27,13.02
"nbe02","rep1","no3_16",169.93,616.41,264,73.26,60.23,113.89,107.08,36.26
"nbe02","rep1","no3_16_l",113.37,459.65,205.24,51.85,55.4,165.49,78.57,28.3
"nbe02","rep1","no3_16_m",145.65,429.23,223.94,57.77,67.03,120.17,91.86,30.89
"nbe02","rep1","no3_160",144.19,317.45,221.69,62.69,58.52,160,108.48,29.29
"nbe02","rep1","no3_4",154.33,413.68,224.99,71.62,62.31,142.41,102.39,41.9
"nbe02","rep2","no3_16",104.1,484.88,157.88,49.21,15.99,297.85,63.6,18.87
"nbe02","rep2","no3_16_l",114.92,424.06,118.68,35.62,27.56,284.75,56.43,10.49
"nbe02","rep2","no3_16_m",116.78,357.82,125.24,38.69,29.8,153.62,52.02,12.44
"nbe02","rep2","no3_160",0,487.97,149.57,40.61,0,416.09,66.45,12.39
"nbe02","rep2","no3_4",83.695,430.02,152.745,48.55,21.295,283.075,64.765,17.35
"nbe04","rep1","no3_16",254.14,481.14,186.01,79.7,82.86,0,54.12,41.95
"nbe04","rep1","no3_16_l",243.5,883.91,252.88,84.02,102.89,182.72,135.09,42.48
"nbe04","rep1","no3_16_m",155.92,308.4,196.34,57.94,63.26,55.45,53.82,34.54
"nbe04","rep1","no3_160",206.46,1437.15,291.24,102,142.14,1275.84,67.59,46.18
"nbe04","rep1","no3_4",147.325,0,155.015,52.805,67.935,0,43.45,26.655
"nbe04","rep2","no3_16",240.38,774.8,327.94,76.51,86.37,368.21,143.31,44.87
"nbe04","rep2","no3_16_l",286.28,368.25,277.85,89.06,69.19,0,36.07,42.44
"nbe04","rep2","no3_16_m",140.74,0,353.68,62.15,41.64,0,46.47,37.83
"nbe04","rep2","no3_160",232.81,557.77,321.56,105.94,29.18,161.37,95.75,46.4
"nbe04","rep2","no3_4",214.76,0,309.54,52.58,55,0,124.48,27.59
"ors10","rep1","no3_16",106.75,357.93,174.09,47.47,47.33,184.7,52.51,27.42
"ors10","rep1","no3_16_l",114.58,333.81,159.67,37,46.4,209.95,44.66,19.9
"ors10","rep1","no3_16_m",115.865,375.28,201.605,40.205,25.22,322.79,48.4,31.715
"ors10","rep1","no3_160",110,353.06,166.73,43.57,24.87,120.14,33.2,25.04
"ors10","rep1","no3_4",184.76,525.78,144.49,48.22,49.59,436.17,13.87,28.31
"ors10","rep2","no3_16",113.89,411.435,156.065,40.895,28.85,229.02,26.55,25.165
"ors10","rep2","no3_16_l",113.555,257.31,91.68,32.675,47.455,112.96,1.63,13.365
"ors10","rep2","no3_16_m",102.93,311,106.42,36.49,38.31,294.44,15.68,16.88
"ors10","rep2","no3_160",118.59,373.105,112.905,41.205,42.065,258.825,22.495,21
"ors10","rep2","no3_4",92.325,455.745,64.12,47.17,26.275,327.635,7.065,58.71
"sag10.83","rep1","no3_16",189.665,0,258.82,74.525,53.14,0,0,30.195
"sag10.83","rep1","no3_16_l",94.35,368.25,120.29,44.26,31.12,0,38.8,16.23
"sag10.83","rep1","no3_16_m",67.45,0,0,46.98,29.38,0,0,19.18
"sag10.83","rep1","no3_160",153.68,0,173.2,66.7,50.31,0,67.45,26.5
"sag10.83","rep1","no3_4",132.6,0,106.5,51.14,36.65,0,14.08,23.41
"sag10.83","rep2","no3_16",201.93,0,0,65.73,60.4,0,0,24.98
"sag10.83","rep2","no3_16_l",94.52,0,137.78,45.7,25.82,0,30.11,16.74
"sag10.83","rep2","no3_16_m",152.64,0,239.35,56.57,71.14,0,0,21.47
"sag10.83","rep2","no3_160",156.25,0,0,61.09,50.89,0,0,24.68
"sag10.83","rep2","no3_4",124.21,0,229.38,45.42,32.96,0,0,16.64
"sag17.94","rep1","no3_16",151.72,709.39,275.27,53.635,51.77,360.12,105.635,25.11
"sag17.94","rep1","no3_16_l",110.96,531.11,222.12,41.78,43.66,143.33,95.44,19.34
"sag17.94","rep1","no3_16_m",122.34,489.09,228.06,45.02,51.98,184.82,91.37,21.35
"sag17.94","rep1","no3_160",145.56,755.9,260.29,50.4,53.61,358.12,95.58,23.21
"sag17.94","rep1","no3_4",148.74,707.31,263.26,49.59,61.11,376.93,100.11,24.46
"sag17.94","rep2","no3_16",140.91,677.91,263.25,57.48,30.85,294.46,85.62,40.92
"sag17.94","rep2","no3_16_l",102.01,535.05,213.87,35.01,30.8,243.65,62.05,9.59
"sag17.94","rep2","no3_16_m",108.79,556.01,235.89,41.19,28.39,393.44,83.85,14.56
"sag17.94","rep2","no3_160",143.24,738.93,249.72,50.54,51.06,423.01,84.97,19.58
"sag17.94","rep2","no3_4",131.955,704.11,254.235,52.975,31.435,385.645,86.99,35.14
"sag20.83","rep1","no3_16",152.39,0,0,43.14,48.12,0,0,17.9
"sag20.83","rep1","no3_16_l",0,0,0,39.28,0,0,0,15.3
"sag20.83","rep1","no3_16_m",111.4,0,0,42.57,15.77,0,0,17.76
"sag20.83","rep1","no3_160",184.76,0,257.78,48.9,49.59,0,0,21.16
"sag20.83","rep1","no3_4",137.39,0,188.9,43.8,31.88,0,29.09,19.43
"sag20.83","rep2","no3_16",130.675,0,0,37.5,29.635,0,0,12.2
"sag20.83","rep2","no3_16_l",134.71,0,194.98,34.95,49.71,0,0,11.23
"sag20.83","rep2","no3_16_m",111.39,0,0,38.53,45.07,0,0,14.19
"sag20.83","rep2","no3_160",98.85,0,0,38.18,39.85,0,0,13.22
"sag20.83","rep2","no3_4",92.28,543.36,0,36.57,25.05,0,0,12.1
"sag24-1c","rep1","no3_16",223.37,1138.43,68.15,160.515,0,727.125,26.21,76.9
"sag24-1c","rep1","no3_16_l",237.4,883.87,309.34,151.03,95.22,676.64,29.56,210.33
"sag24-1c","rep1","no3_16_m",28.51,1105.28,195.57,137.355,0,704.085,113.875,125.46
"sag24-1c","rep1","no3_160",492.38,1041.75,0,136.57,201.55,649.94,0,89.69
"sag24-1c","rep1","no3_4",0,1065.76,0,120.8,0,673.38,0,92.87
"sag24-1c","rep2","no3_16",164.24,1140.03,0,39.49,97.19,639.09,0,16.23
"sag24-1c","rep2","no3_16_l",97.86,793.75,228.39,69.62,15.74,539.04,118.05,40.95
"sag24-1c","rep2","no3_16_m",37.36,947.29,204.73,89.13,0,623.24,0,54.43
"sag24-1c","rep2","no3_160",73.29,1035.19,63.795,81.415,21.745,569.07,0,50.23
"sag24-1c","rep2","no3_4",196.36,1051.83,50.67,99.96,57.86,540.51,0,53.38
"sag45-1","rep1","no3_16",83.9,0,140.39,29.61,14.87,0,42.32,8.03
"sag45-1","rep1","no3_16_l",57.95,0,92.36,27.86,18.55,0,0,6.09
"sag45-1","rep1","no3_16_m",63.1,0,130.42,25.45,18.92,0,43.72,5.87
"sag45-1","rep1","no3_160",61.2,0,0,25.96,18.64,0,0,6.3
"sag45-1","rep1","no3_4",68.26,0,170.96,25.3,17.39,0,0,6.16
"sag45-1","rep2","no3_16",112.79,0,227.72,34.1,35.99,0,0,10.65
"sag45-1","rep2","no3_16_l",75.32,0,119.87,25.45,20.61,0,39.11,5.9
"sag45-1","rep2","no3_16_m",61.69,0,0,23.85,20.92,0,0,5.71
"sag45-1","rep2","no3_160",61.08,810.33,118.37,25.07,15.55,0,53.28,5.99
"sag45-1","rep2","no3_4",74.67,658.67,0,26.44,7.82,0,0,6.26
"sag61.72","rep1","no3_16",45.06,0,0,23.95,16.27,0,0,6.9
"sag61.72","rep1","no3_16_l",62.91,0,0,25.24,20.3,0,0,7.72
"sag61.72","rep1","no3_16_m",70.05,0,0,26.27,14.81,0,0,7.59
"sag61.72","rep1","no3_160",44.94,76.98,0,23.33,16.27,0,0,5.74
"sag61.72","rep1","no3_4",38.95,0,53.85,23.77,15.72,0,3.17,8.51
"sag61.72","rep2","no3_16",51.73,183.1,76.36,23.81,16.29,78.2,17.64,4.64
"sag61.72","rep2","no3_16_l",53.19,0,91,23.45,14.43,0,37.16,3.8
"sag61.72","rep2","no3_16_m",60.31,151.13,89.51,24.35,18.91,48.72,23.81,5
"sag61.72","rep2","no3_160",49.89,0,79.82,22.22,13.67,0,8.29,3.51
"sag61.72","rep2","no3_4",55.57,186.92,0,23.47,19.61,0,0,4.51
"sag69.72","rep1","no3_16",336.35,0,184.06,126.94,114.92,0,28.83,62.85
"sag69.72","rep1","no3_16_l",243.62,0,0,114.19,104.24,0,0,73.27
"sag69.72","rep1","no3_16_m",221.37,0,290.03,116.96,60.47,0,0,61.71
"sag69.72","rep1","no3_160",259.01,0,0,87.37,107.36,0,0,45.16
"sag69.72","rep1","no3_4",256.79,0,0,100.55,123.83,0,0,47.6
"sag69.72","rep2","no3_16",328.39,648.8,383.08,125.75,99.38,99.4,200.74,43.78
"sag69.72","rep2","no3_16_l",271.06,0,360.58,93.99,72.13,0,107.85,34.48
"sag69.72","rep2","no3_16_m",259.58,0,514.25,105.96,70.72,0,0,40.38
"sag69.72","rep2","no3_160",279.14,1068.03,479.74,96.87,82.96,446.07,171.36,37.15
"sag69.72","rep2","no3_4",261.88,0,471.2,106.38,88.47,0,161.13,42.07
"sag7.73","rep1","no3_16",66.46,0,123.08,24.69,23.77,0,0,8.89
"sag7.73","rep1","no3_16_l",75.27,0,53.19,24.79,35.09,0,0,5.74
"sag7.73","rep1","no3_16_m",48.75,0,0,22.58,19.71,0,0,3.93
"sag7.73","rep1","no3_160",47.84,0,0,22.95,13.14,0,0,5.37
"sag7.73","rep1","no3_4",40.75,252.45,65.91,21.49,15.32,69.63,17.63,4.5
"sag7.73","rep2","no3_16",76.27,0,0,27.9,22.735,0,0,9.26
"sag7.73","rep2","no3_16_l",45.3,187.84,105.66,21.31,14.92,16.88,29.45,3.48
"sag7.73","rep2","no3_16_m",50.16,410.605,102.35,22.075,16.655,271.56,20.72,5.6
"sag7.73","rep2","no3_160",70.16,0,0,23.72,21.12,0,0,6
"sag7.73","rep2","no3_4",61.22,0,145.92,24.16,18.59,0,0,8.25
